material,solution,ree_class,pretreatment,si,al,fe,temperature,ph,solid_liquid_ratio,stirring_speed,leaching_time,recovery
Coal gangue,HCl,TREE,0,22.14,12.16,0.14,60,-0.301029996,0.066666667,300,120,40.3
Coal gangue,HCl,LREE,0,22.14,12.16,0.14,60,-0.301029996,0.066666667,300,120,44.9
Coal gangue,HCl,HREE,0,22.14,12.16,0.14,60,-0.301029996,0.066666667,300,120,16.7
Coal gangue,HCl,TREE,1,22.14,12.16,0.14,300,-0.301029996,0.066666667,300,120,50.0
Coal gangue,HCl,LREE,1,22.14,12.16,0.14,300,-0.301029996,0.066666667,300,120,28.0
Coal gangue,HCl,HREE,1,22.14,12.16,0.14,300,-0.301029996,0.066666667,300,120,25.0
Coal gangue,HCl,TREE,1,22.14,12.16,0.14,400,-0.301029996,0.066666667,300,120,63.4
Coal gangue,HCl,LREE,1,22.14,12.16,0.14,400,-0.301029996,0.066666667,300,120,68.0
Coal gangue,HCl,HREE,1,22.14,12.16,0.14,400,-0.301029996,0.066666667,300,120,42.0
Coal gangue,HCl,TREE,1,22.14,12.16,0.14,500,-0.301029996,0.066666667,300,120,72.0
Coal gangue,HCl,LREE,1,22.14,12.16,0.14,500,-0.301029996,0.066666667,300,120,77.0
Coal gangue,HCl,HREE,1,22.14,12.16,0.14,500,-0.301029996,0.066666667,300,120,55.0
Coal gangue,HCl,TREE,1,22.14,12.16,0.14,600,-0.301029996,0.066666667,300,120,72.4
Coal gangue,HCl,LREE,1,22.14,12.16,0.14,600,-0.301029996,0.066666667,300,120,75.6
Coal gangue,HCl,HREE,1,22.14,12.16,0.14,600,-0.301029996,0.066666667,300,120,79.3
Coal gangue,HCl,TREE,1,22.14,12.16,0.14,700,-0.301029996,0.066666667,300,120,74.0
Coal gangue,HCl,LREE,1,22.14,12.16,0.14,700,-0.301029996,0.066666667,300,120,78.0
Coal gangue,HCl,HREE,1,22.14,12.16,0.14,700,-0.301029996,0.066666667,300,120,55.0
Coal gangue,HCl,TREE,1,22.14,12.16,0.14,800,-0.301029996,0.066666667,300,120,66.0
Coal gangue,HCl,LREE,1,22.14,12.16,0.14,800,-0.301029996,0.066666667,300,120,70.0
